"A" "B" "C" "D"
"585" 5884.25 3206.83 4248.89 1066.52
"586" 4412.74 4549.02 5226.64 3328.59
"587" 4981.19 2685.12 5545.46 3280.34
"588" 3204.87 6383.23 7454.84 2850.2
"589" 5011.79 5339.8 1530.33 3269.02
"590" 4906.16 6444.3 1712.89 2680.5
"591" 5246.7 3793.53 5840.12 2015.01
"592" 6123.05 5868.65 2420.56 5175.14
"593" 3876.98 3633.37 4900.91 2377.13
"594" 5441.44 3705.53 3541.72 5457.27
"595" 5975.63 3133.37 3503.09 2048.43
"596" 5812.08 2704.83 6013.47 3106.36
"597" 1434.98 5413.4 1692.24 3465.01
"598" 4783.81 5761.19 6625.66 4351.69
"599" 2544.54 4426.28 6325.42 988.39
"600" 3199.31 3385.13 6599.24 4943.66
"601" 6353.53 4363.26 1572.02 3367.04
"602" 3260.4 3761.37 3862.13 4160.51
"603" 6143.62 3841.54 5134.88 4173.45
"604" 5326.32 5168.44 6750.47 2800.2
"605" 4953.1 4665.83 6648.74 2779.38
"606" 5574.73 5557.05 7410.68 3972.46
"607" 3202.38 4030.99 1699.68 2766.36
"608" 5289.6 4447.3 6112.4 4422.05
"609" 5255.55 2977.45 4453.38 3037.06
"610" 6309.12 6232.32 5166.23 2971.31
"611" 5428.48 6584.74 1270.91 1106.49
"612" 3408.33 3918.33 6016 1828.79
"613" 2084.73 4071.74 5674.21 2348.54
"614" 5995.01 3419.67 5748.49 2881.38
"615" 3690.42 4210.31 5846.64 2360.64
"616" 6181.77 6440 3126.21 4284.42
"617" 4477.24 3667.83 7091.34 2512.73
"618" 3648.63 3570.76 7408.9 4583.16
"619" 3631.33 3854.15 3991.3 2164.3
"620" 2627.91 2551.43 3739.68 3541.85
"621" 6084.09 3372.37 7492.65 2062.46
"622" 2621.47 6218.91 6229.35 2984.74
"623" 4300.54 5775.04 4305.07 2033.43
"624" 5133.23 4560.3 3883.19 1100.11
"625" 4467.24 3474.17 6501.12 2250.34
"626" 2632.77 7079.54 1084.6 3955.33
"627" 4962.68 3234.63 3649.61 3953.56
"628" 6609.13 6766.89 2603.48 2098.74
"629" 4443.9 5996.13 5505.39 4163.13
"630" 5614.45 2586.61 4032.45 2968.55
"631" 6025.5 6288.41 4962.89 3735.02
"632" 6025.24 4427.68 5454.67 2301.06
"633" 4282.53 5208.95 4909.8 3525.5
"634" 5963.16 4808.71 6603.2 4021.03
"635" 4997.76 5143.13 3931.47 4264.57
"636" 3029.26 3151.25 2191.49 5029.52
"637" 2917.51 4802.65 5213.8 2635.97
"638" 5089.4 4634.68 2037.29 3501.52
"639" 5377.36 4232.5 6283.8 1603.49
"640" 6071.76 5437.57 7306.69 3836.41
"641" 5466.2 3559.08 5647 1571.44
"642" 5751.03 7110.28 1342.19 3314.71
"643" 3696.74 5367.73 5939.94 1949.95
"644" 3950.17 3534.99 6729.13 1561.43
"645" 3627.85 6075 6377.04 3036.13
"646" 4984.24 4986.14 5419.22 2993.82
"647" 4351.67 6497.9 2748.8 5223.6
"648" 4926.47 6493.28 6532.4 3755.78
"649" 4066.09 4094.45 5553.4 3847.7
"650" 3609.2 3384.85 3778.29 4424.5
"651" 4617.73 5179.27 1493.68 2914.06
"652" 5104.04 3734.11 2527.51 5550.54
"653" 3885.36 5598.04 6036.37 5004.29
"654" 3105.89 4370.41 2585.09 2496.34
"655" 3459.76 4591.73 1634.71 6717.52
"656" 1595.91 5342.14 1945.22 2936.3
"657" 4170.55 2991.89 4624.65 2206.4
"658" 3376.08 5322.93 4983.97 3054.6
"659" 3969.18 5545.99 2298.53 2043.9
"660" 3830.41 3356.21 1009.09 2474.92
"661" 3092.41 5381.95 3367.17 2462.77
"662" 4984.28 5464.88 1444.98 4470.92
"663" 4996.23 4506.48 5216.61 1884.76
"664" 6387.69 4201.22 4360.55 1957.15
"665" 5506.91 5371.92 5576.51 3191.64
"666" 2850.09 3337.44 2354.19 3502.7
"667" 4790.92 4877.12 2401.22 4617.9
"668" 5072.68 3954.31 6510.37 1733.94
"669" 5567.71 4283.97 6871.13 1784.64
"670" 3807.6 3306.25 6275.99 2817.26
"671" 6339.63 5792.64 6287.8 4254.8
"672" 4208.25 4099.07 6547.44 8478.59
"673" 6636.81 3827.39 6388.26 3852.32
"674" 4461.58 2251.89 3115.26 1575.77
"675" 4458.94 6322.82 7471.34 4252.06
"676" 5840.86 4077.29 1085.43 2380.76
"677" 1784.04 2702.09 4912.99 2073.99
"678" 5058.95 5469.31 4929.08 3417.24
"679" 6632.92 4645.24 3042.89 3216.59
"680" 4665.62 3237.63 1459.13 2435.06
"681" 3567.42 4861.9 6323.12 2539.29
"682" 6566.99 3607.78 1166.83 2499.01
"683" 3602.4 5660.77 1748.01 3092.42
"684" 3875.29 5534.02 3477.41 3230.07
"685" 5079.28 4888.42 2466.9 1704.51
"686" 5394.69 3506.54 4687.4 3003.55
"687" 3015.61 4823.71 3443.79 3765.21
"688" 2494.76 4522.02 6029.79 1564.38
"689" 5877.73 3016 5140.25 5136.86
"690" 2018.95 3700.1 6829.67 3477.96
"691" 5865.3 4306.54 5884.44 1913
"692" 5701.95 4145.71 5993.7 4083.76
"693" 5912.8 2420.38 4265.2 2087.34
"694" 5058.29 6234.8 2072.03 1472.06
"695" 4833.94 6174.19 4849.56 3085.9
"696" 5476.4 4551.16 5626.52 4472
"697" 6158.01 4469.13 2745.45 5459.13
"698" 5519.3 6007.69 2080.36 1932.13
"699" 2097.25 6714.91 1757.96 2873.5
"700" 5643.85 3178.6 5247.67 2836.3
"701" 4548.59 3377.32 3643.39 3272.76
"702" 3334.94 4959.34 3752.11 5368.41
"703" 2786.27 5108.55 5012.49 2348.27
"704" 3054.8 4528.06 5527.32 3347.34
"705" 5951.74 2940.66 2510.4 3216.8
"706" 1166.02 5213.86 1406.61 3054.14
"707" 5964.55 5196.87 6526.53 2501.83
"708" 5402.6 4419 3027.98 2438.71
"709" 3393.58 5759.92 4251.7 3364.58
"710" 5583.98 6324.75 7224.15 3207.29
"711" 4773.05 3798.16 5453.57 1652.58
"712" 4526.64 5574.85 7181.43 2294.72
"713" 3990.6 3406.79 6993.99 2560.02
"714" 5912.04 4528.84 3919.32 3129.42
"715" 5274.7 4511.45 5432.75 3665.55
"716" 3286.65 4827.16 5566.46 3586.8
"717" 5622.02 4709.78 4275.79 1921.78
"718" 4987.61 5350.42 6465.63 3495.35
"719" 5722.97 4743.63 3980.1 3452.42
"720" 6413.7 5894.51 6865.36 2258.49
"721" 5134.46 3922.95 2062.28 5734.4
"722" 6124.59 3329.71 5812.76 1477.99
"723" 4783.33 4674.68 6876 2564.72
"724" 5797.78 2849.51 6051.64 1888.45
"725" 3185.1 3853.71 4214.39 2710.26
"726" 4413.75 4404.66 1268.71 3073.95
"727" 2849.08 2731.08 1069.3 3481.77
"728" 4145.72 3703.66 3362.89 2422.25
"729" 6867.02 2474.28 1535.54 1255.25
"730" 4207.28 5099.77 2064.07 3843.65
"731" 4963.17 4980.42 4332.83 3773.27
"732" 5741.86 3530.06 2683.16 3884.44
"733" 5542.25 5286 4599.99 983.59
"734" 4092.56 5649.1 1665.42 2170.45
"735" 6132.09 3446.11 2822.52 4793.93
"736" 3128.58 2340.26 6289.85 2325.44
"737" 3924.88 5558.36 2024.8 3538.91
"738" 4064.69 6874.6 7077.33 5693.1
"739" 5450.54 3273.37 4766.18 5566.89
"740" 4912.45 4648.61 1100.41 5847.62
"741" 3401.41 7206.37 3826.22 4406.25
"742" 5191.06 4693.31 5655.72 3254.05
"743" 4811.85 4233.1 3977.84 3663.76
"744" 6549.28 2957.39 2408.7 4445.18
"745" 6239.02 5455.27 2934.76 4611.23
"746" 2866.44 6822.79 4889.4 2012.12
"747" 5380.18 3459.94 4244.35 4032.89
"748" 1930.17 7895.39 1085.54 4250.85
"749" 6631.17 4649.02 3490.78 5037.71
"750" 4356.14 2353.19 4773.71 2619.04
"751" 4113.17 5664.8 6572.6 1319.81
"752" 2201.16 4154.25 5363.3 1430.26
"753" 4260.17 3463.87 3046.71 3936.91
"754" 4413.4 5670.3 3020.05 2676.96
"755" 5261.05 6198.04 6356.8 2617.94
"756" 5757.29 6120.32 3591.81 2264.19
"757" 5226.45 5559.17 2139.05 3163.88
"758" 5828.8 4884.93 5168.07 3318.56
"759" 6176.92 4418.69 7275.61 2642.13
"760" 5575.94 2185.47 4293.76 4357.7
"761" 6328.92 5044.18 2537.31 6589.37
"762" 2529.04 5214.49 3697.83 3639.83
"763" 2315.2 4660.84 4353.19 2157.83
"764" 6320.09 4352.32 4098.41 3068.16
"765" 3395.94 3844.17 2125.71 2885.29
"766" 5131.76 3622.95 1616.23 4150.15
"767" 4532.17 5047.81 3412.47 3289.22
"768" 2718.31 4055.29 4765.57 1777.58
"769" 5273.45 2944.91 2828.26 2105.11
"770" 6196.85 5756.33 6648.04 2139.55
"771" 6254.43 4211.62 2247.46 3542.51
"772" 5228.93 5973.96 2047.66 1818.47
"773" 3493.67 2634.11 3067.77 1923.27
"774" 5340.95 4250.06 6752 2056.99
"775" 5266.17 2961.24 6228.39 3502.99
"776" 4999.38 6598.25 7020.14 1809.65
"777" 5193.19 3846.38 6544.93 1481.93
"778" 5543.39 5784.28 3910.3 1783.99
"779" 4656.9 6636.95 2137.13 2681.93
"780" 3306.56 5030.88 7411.32 4124.02
"781" 4078.72 5482.74 6336.64 4240.19
"782" 4212.85 3362.27 3098.85 3526.54
"783" 4999.14 2561.88 3711.02 4277.76
"784" 6500.42 6782.58 1775.57 3301.61
"785" 2266.49 4361.94 5877.23 4177.76
"786" 2495.36 5377 3984.78 3080.66
"787" 2271.16 5144.25 6935.59 2265.23
"788" 3341.01 4254.75 1244.44 4866.79
"789" 6609.24 6341.53 4335.05 3057.44
"790" 4387 4339.28 3411.48 2732.4
"791" 1569.42 5223.23 3472.11 4040.96
"792" 6470.89 3180.68 7023.82 4976.07
"793" 2793.59 3237.69 4599.31 2791.47
"794" 5909.44 3787.89 1622.31 3739.79
"795" 3491.12 6058.72 1152.23 3761.48
"796" 5297.2 5452.67 5477.09 5993.08
"797" 4639.06 5835.28 5284.66 2943.64
"798" 4616 2470.47 4338.93 5681.08
"799" 4615.82 5344.71 3186.6 1645.62
"800" 5651.9 5187.44 1232.97 3990.1
"801" 2681.6 5226.82 4267.88 3508.17
"802" 4301.7 4644.52 5922.81 3562.08
"803" 4145.9 5666.33 2905.84 2621.09
"804" 5836.02 4041.82 5927.23 4186.11
"805" 4939.46 2938.61 6461.69 3725.49
"806" 5978.45 5483.64 4829.39 2339.18
"807" 5857.92 3941.16 5836.17 3606.63
"808" 5540.78 5100.83 6909.48 1628.04
"809" 3866.16 5580.61 1328.29 2249.65
"810" 3465.1 5950.15 4433.25 2891.69
"811" 4358.73 2910.03 2766.51 2782.41
"812" 6168.73 4670.93 3813.25 1752.84
"813" 6777.57 2110.22 4196.03 3229.25
"814" 5190.42 3334.22 5369.57 2588.72
"815" 4870.5 2283.83 2245.66 5812.76
"816" 5839.58 4521.15 3116.05 1158.07
"817" 3949.86 4862.44 5248.6 2992.95
"818" 5171.98 4653.65 6015.91 3115.84
"819" 6055.65 4401.89 6754.77 2240.45
"820" 3524.87 5225.68 7352.83 2613.46
"821" 6358.36 4890.05 2959.99 2798.3
"822" 6375.12 4795.97 5095.36 3978.96
"823" 3251.77 4537.67 1123.3 4566.2
"824" 4253.7 4017.61 2925.06 3414.27
"825" 5963.79 3624.58 6062.26 3617.15
"826" 3905.9 2176.4 5108.98 4222.9
"827" 4981.14 2701.29 3913.44 3153.14
"828" 5950.86 2551.17 5402.89 3675.19
"829" 5683.03 4045.81 4709.13 2842.64
"830" 5960.93 4630.87 4976.55 4998.75
"831" 3896.02 2448.38 3789.17 4639.29
"832" 3274.52 3086.41 5949.46 2318.41
"833" 5410.17 4928.65 4239.13 2726.38
"834" 2935.71 2578.79 1121.63 3624.74
"835" 5862.79 5381.61 5171.37 3441.99
"836" 5785.43 4629.01 4595.24 2678.93
"837" 4850.84 2416.35 6470.73 3230.65
"838" 4704.11 6301.29 6300.46 6784.67
"839" 5435.97 5071.01 3340.34 4614.44
"840" 5357.3 4091.58 6658.3 2771.85
"841" 4823.94 4566.12 3957.22 2903.75
"842" 5233.28 4805.29 4745.51 3257.42
"843" 5298.16 3229.84 2789.68 3936.87
"844" 5452.25 4485.78 3274.24 4441.01
"845" 3128.26 3430.77 6510.86 3228.79
"846" 5475.74 3841.66 5226.19 3558.81
"847" 4657.76 5847.23 4012.93 2503.3
"848" 5434.41 5162.8 2650.67 2850.82
"849" 6126.14 5313.48 6353.77 1497.64
"850" 6640.46 5664.8 6639.56 3463.98
"851" 4799.76 4024.66 7041.74 3814.15
"852" 5186.07 6279.51 4952.62 6437.36
"853" 3297.39 5152.3 3061.59 2189.13
"854" 6242.67 4193.25 6855.31 2018.72
"855" 6673.3 4642.82 1148.3 2169.34
"856" 1757.2 2390.09 6543.76 7031.82
"857" 6283.28 4526.58 4909.27 5701.93
"858" 4241.12 5570.61 6045.12 2918.32
"859" 3995.14 5432.56 1927.9 2756.16
"860" 5263.54 6364.19 2526.16 2737.67
"861" 2100.89 5642.77 4396.22 6606.82
"862" 5922.62 5030.2 3470.05 2896.13
"863" 6810.2 4570.31 7187.9 3013.29
"864" 6531.99 4025.06 2799.92 4095.62
"865" 4209.05 4920.71 6484.25 2238.12
"866" 6536.75 2858.49 5961.65 2257.26
"867" 5381.31 3683.99 3906.41 2767.18
"868" 4978.39 1392.27 7328.62 2447.53
"869" 3411.23 5052.59 3122.97 6074.23
"870" 4206.64 3828.65 5409.74 2809.09
"871" 4021.8 6063.37 3889.9 3104.2
"872" 4009.75 4212.07 5806.61 2839.05
"873" 6547.11 4679.86 1677.38 3444.3
"874" 5648.64 5300.06 1956.39 1962.08
"875" 5262.7 7262.57 4710.87 3330.73
"876" 4434.82 6206.25 6403.68 2442.93
"877" 5035.11 6392.01 4961.78 2192.8
"878" 2384.47 5692.53 6594.78 2156.16
"879" 4697.86 4535.15 3904.39 2964.05
"880" 6534.11 5402.89 6057.83 6309.51
"881" 5044.14 4889.41 6302.96 1798.61
"882" 5732.94 4780.67 1905.07 1879.9
"883" 5856.23 4407.8 3896.93 3065.79
"884" 6236.92 1868.92 4339.05 3658.55
"885" 5757.71 3642.79 2325.3 2314.18
"886" 4876.51 5611.66 5582.49 2695.11
"887" 5507.01 5800.5 5153.03 5622.55
"888" 4688.8 4941.7 2434.56 3719.44
"889" 4573.63 4959.34 4020.92 3399.07
"890" 2817.4 5816.13 5977.57 5991.68
"891" 5073.17 4114.66 6152.96 2767.57
"892" 3945.29 2893.78 5378.66 5215.62
"893" 3322.62 3365.73 1309.7 2010.29
"894" 6619.74 4636.6 2368.85 3106.91
"895" 6535.76 3902.27 6112.79 2956.38
"896" 6564.47 5407.63 1484.92 3512.63
"897" 5665.71 4907.86 4977.16 2594.45
"898" 4104.11 4058.68 4790.66 2188.07
"899" 4573.84 7859.5 1582.93 1288.62
"900" 4865.28 3442.13 2852.44 3719.94
"901" 4216.91 4547.34 3332.92 5280.15
"902" 4218.52 5216.54 2679.89 2614.22
"903" 5022.07 5617.24 6103.61 2653.59
"904" 2882.32 4748.38 3694.63 3750.93
"905" 3669.65 5312.05 7354.12 3734.86
"906" 4082.26 3663.49 2636.97 4003.16
"907" 4101.44 4657.18 5922.96 3186.58
"908" 4266.64 2076.67 1352.12 4631.08
"909" 4851.45 2629.5 6193.68 4252.63
"910" 4824.93 2702.78 6412.61 3902.08
"911" 4683.72 4549.73 6927.68 2802.87
"912" 2835.34 5963.75 4026.45 1248.93
"913" 2682.18 3443.98 6108.75 1922.35
"914" 6058.45 3261.56 7373.28 3523.43
"915" 3195.01 3163.86 1111.72 3107.51
"916" 4978.69 6145.18 7457.32 2686.86
"917" 2099.15 4505.06 3328.05 1233.52
"918" 5120.56 3361.14 6263.57 1199.62
"919" 4557.56 6213.31 3630.81 3895.69
"920" 2739.38 2934.57 1282.72 2435.87
"921" 4038.74 3464.67 3109.13 5519.7
"922" 5355.9 5276.46 2220.93 2001.69
"923" 3253.97 5934.07 6609.17 3008.92
"924" 4789.19 2009.9 6748.11 4017.68
"925" 3433.27 3635.84 6184.92 2121
"926" 5534.4 4884.85 1281.31 3921.18
"927" 5655.43 5614.01 4665.15 3675.56
"928" 5712.46 4948.71 4019.45 4200.09
"929" 5983.38 6000.36 7466.01 1599.68
"930" 4230.81 4980.88 4565.26 3340.41
"931" 5695.41 4029.82 5675.17 2107.06
"932" 3798.08 5359.73 4171.18 2404.68
"933" 4548.85 3293.55 2159.67 4581.68
"934" 3849.07 5364.08 6998.86 2851.19
"935" 3342.11 4327 2393.72 3010.56
"936" 5390.76 4814.67 5204.59 4401.75
"937" 4234.32 4740.55 1227.04 2676.39
"938" 5510.87 3428.2 5345.71 3455.46
"939" 4665.11 5981.49 1952.03 5356.5
"940" 3842.41 745.38 6297.84 2465.13
"941" 4364.68 3340.9 7092.33 1685
"942" 5359.84 3300.06 3184.86 2391.15
"943" 2306.84 5286.36 3961 3210.03
"944" 4149.5 5859.27 5369.22 3393.18
"945" 4623.48 5235.33 4023.72 1979.68
"946" 5705.66 5047.38 5792.88 3058.64
"947" 6428.42 5751.8 6157.24 2134.23
"948" 6657.62 3586.87 6626 2093.29
"949" 3871.08 5035.84 4264.48 3733.65
"950" 3060.51 4653.25 3254.48 2895.85
"951" 5202.39 5847.9 3589.38 5378.6
"952" 6228.79 4323.8 2622.07 1360.92
"953" 5525.63 5252.52 5975.06 5857.72
"954" 6588.78 2559.32 4109.02 2862.7
"955" 4095.28 5336.88 4277.71 4612.07
"956" 2147.27 3961.19 2139.7 2803.94
"957" 2877.1 5305.07 2786.92 3174.17
"958" 4340.76 3494.77 5285.5 1898.16
"959" 5132.05 3324.81 2079.84 1441.55
"960" 4807.38 3227.97 1337.88 3389.52
"961" 2480.29 4946.52 4327.43 1456.63
"962" 4897.28 4461.32 6848.13 3721.1
"963" 3807.29 5703.97 1811.46 4932.08
"964" 6304.05 5104.18 4074.19 1888.95
"965" 4582.31 5706.39 3558.73 7467.15
"966" 5146.14 5432.91 4705.21 2932.15
"967" 6602.08 3227.99 4779.74 3049.82
"968" 5450.2 5342.37 2331.7 4772.89
"969" 3042.14 4328.85 2236.14 4899.66
"970" 4985.32 2557.78 4684.56 3493.49
"971" 6037.02 6000.62 4057.52 3884.77
"972" 5153.83 5664.98 3637.72 5758.72
"973" 4902.87 4410.92 1433.91 2738.28
"974" 5869.33 6142.26 1320.8 4108.22
"975" 3758.8 2858.85 4348.03 3614.54
"976" 4811.74 5729.36 5811.79 3818.28
"977" 5282.82 5260.58 4072.51 3709.6
"978" 6712.07 5313.66 5102.31 1868.68
"979" 2573.05 5594.87 5569.06 1947.72
"980" 4146.62 5023.85 6288.41 2183.87
"981" 3132.81 4245.03 2156.64 2843.64
"982" 1909.85 4189 5791.85 2229.32
"983" 5024.77 6891.09 3547.69 2745.6
"984" 2678 5869.45 3881.26 3227.93
"985" 2396.26 3706.96 7104.54 7085.96
"986" 3180.43 5509.86 3231.71 5466.74
"987" 5824.67 5022.96 4366.58 1556.96
"988" 4660.69 5347.19 3310.89 2258.49
"989" 5592.45 3654.08 5919.38 5054.41
"990" 5625.75 2231.87 7099.83 2028.83
"991" 3096.01 4032.4 5948.28 3221.61
"992" 6679.65 3544.67 4843.48 1818.98
"993" 3632.56 2757.6 2568.21 3273.01
"994" 5036.4 3425.29 6825.07 1998.25
"995" 4348.06 4162.37 1378.04 6336.01
"996" 4180.21 2303.26 1162.27 2385.16
"997" 4656.16 4162.74 5079.64 4197.56
"998" 6538.86 6160.02 6860.83 2281.13
"999" 6407.47 4410.63 3853.55 2597.24
"1000" 5485.03 1957.34 6507.59 3859.73
